block_id,face_px,face_nx,face_py,face_ny,face_pz,face_nz,transparent

0:0:1,0,0,0,0,0,0,0
0:0:2,16,16,17,16,16,16,0
0:0:3,3,3,2,1,3,3,0
0:0:4,4,4,4,4,4,4,4,1

0:0:5,16,16,16,16,16,16,0
0:0:6,16,16,16,16,16,16,0

0:0:7,16,16,16,16,16,16,0
0:0:8,16,16,17,18,16,16,0

0:0:9,16,16,16,16,16,16,0
0:0:10,16,16,16,16,16,16,0
0:0:11,16,16,16,16,16,16,0
0:0:12,16,16,16,16,16,16,0
0:0:13,16,16,16,16,16,16,0
0:0:14,16,16,16,16,16,16,0
0:0:15,16,16,16,16,16,16,0
0:0:16,16,16,16,16,16,16,0
0:0:17,16,16,16,16,16,16,0
0:0:18,16,16,16,16,16,16,0
0:10:11:2,16,16,16,16,16,16,0
0:10:11:3,16,16,16,16,16,16,0
0:10:00:0,16,16,16,16,16,16,0
0:10:00:1,16,16,16,16,16,16,0
0:10:00:2,16,16,16,16,16,16,0
0:10:01:0,16,16,16,16,16,16,0
0:10:01:1,16,16,16,16,16,16,0
0:10:10:0,16,16,16,16,16,16,0
0:10:10:1,16,16,16,16,16,16,0
0:10:11:0,16,16,16,16,16,16,0
0:10:11:1,16,16,16,16,16,16,0
0:10:3,16,16,16,16,16,16,0
0:10:4,16,16,16,16,16,16,0
0:10:5,16,16,16,16,16,16,0
0:10:6,16,16,16,16,16,16,0
0:10:7,16,16,16,16,16,16,0
0:10:8,16,16,16,16,16,16,0
0:10:9,16,16,16,16,16,16,0
0:10:10,16,16,16,16,16,16,0
0:10:11,16,16,16,16,16,16,0
0:10:12,16,16,16,16,16,16,0
0:10:13,16,16,16,16,16,16,0
0:10:14,16,16,16,16,16,16,0
0:10:15,16,16,16,16,16,16,0
0:10:16,16,16,16,16,16,16,0
0:10:17,16,16,16,16,16,16,0
0:10:18,16,16,16,16,16,16,0
0:10:19,16,16,16,16,16,16,0
0:10:20,16,16,16,16,16,16,0
0:10:21,16,16,16,16,16,16,0
0:10:22,16,16,16,16,16,16,0
0:10:23,16,16,16,16,16,16,0
0:10:24,16,16,16,16,16,16,0
0:10:25,16,16,16,16,16,16,0

0:11110:0,16,16,16,16,16,16,0
0:11110:1,16,16,16,16,16,16,0
0:11110:2,16,16,16,16,16,16,0
0:11110:3,16,16,16,16,16,16,0
0:11110:4,16,16,16,16,16,16,0
0:11110:5,16,16,16,16,16,16,0
0:11110:6,16,16,16,16,16,16,0
0:11110:7,16,16,16,16,16,16,0
0:11110:8,16,16,16,16,16,16,0
0:11110:9,16,16,16,16,16,16,0
0:11110:10,16,16,16,16,16,16,0
0:11110:11,16,16,16,16,16,16,0
0:11110:12,16,16,16,16,16,16,0
0:11110:13,16,16,16,16,16,16,0
0:11110:14,16,16,16,16,16,16,0
0:11110:15,16,16,16,16,16,16,0
0:11110:16,16,16,16,16,16,16,0
0:11110:17,16,16,16,16,16,16,0
0:11110:18,16,16,16,16,16,16,0
0:11110:19,16,16,16,16,16,16,0
0:11111:0,16,16,16,16,16,16,0
0:11111:1,16,16,16,16,16,16,0
0:11111:2,16,16,16,16,16,16,0
0:11111:3,16,16,16,16,16,16,0
0:11111:4,16,16,16,16,16,16,0
0:11111:5,16,16,16,16,16,16,0
0:11111:6,16,16,16,16,16,16,0
0:11111:7,16,16,16,16,16,16,0
0:11111:8,16,16,16,16,16,16,0
0:11111:9,16,16,16,16,16,16,0
0:11111:10,16,16,16,16,16,16,0
0:11111:11,16,16,16,16,16,16,0
0:11111:13,16,16,16,16,16,16,0
0:11111:16,16,16,16,16,16,16,0
0:11111:17,16,16,16,16,16,16,0
0:11111:18,16,16,16,16,16,16,0
0:11111:19,16,16,16,16,16,16,0
0:11111:20,16,16,16,16,16,16,0
0:11111:21,16,16,16,16,16,16,0
0:11111:22,16,16,16,16,16,16,0
0:11111:23,16,16,16,16,16,16,0
0:11111:24,16,16,16,16,16,16,0
0:11111:25,16,16,16,16,16,16,0
10:0,16,16,16,16,16,16,0
10:1,16,16,16,16,16,16,0
10:2,16,16,16,16,16,16,0
10:3,16,16,16,16,16,16,0
10:4,16,16,16,16,16,16,0
10:5,16,16,16,16,16,16,0
10:6,16,16,16,16,16,16,0
10:7,16,16,16,16,16,16,0
10:8,16,16,16,16,16,16,0
10:9,16,16,16,16,16,16,0
10:10,16,16,16,16,16,16,0
10:11,16,16,16,16,16,16,0
10:12,16,16,16,16,16,16,0
10:13,16,16,16,16,16,16,0
