id,title,description,era,section,cost_item,cost_count,cooldown,target_count
1,First Steps,Punch a tree to get wood. The foundation of all early progress.,vagrant,basics,,,,8
2,Basic Carpentry,Craft oak planks from your logs.,vagrant,basics,,,,16
3,The Grid,Craft a crafting table.,vagrant,basics,,,,1
4,Place Workbench,Place the crafting table in the world.,vagrant,basics,,,,1
5,Sticks,Craft sticks for your first tools.,vagrant,basics,,,,8
6,Wooden Pickaxe,Craft a wooden pickaxe to mine stone.,vagrant,basics,,,,1
7,Cobblestone,Mine stone to get cobblestone.,vagrant,basics,,,,16
8,Stone Pickaxe,Upgrade to a stone pickaxe for faster mining.,vagrant,basics,,,,1
9,Iron Prospecting,Mine iron ore from the depths.,vagrant,basics,,,,8
10,Coal Prospecting,Mine coal ore to fuel your furnaces.,vagrant,basics,,,,16
11,Heat Generator,Craft a heat generator to burn fuel for heat energy.,vagrant,stone_age,,,,1
12,Heat Furnace,Craft a heat furnace for basic smelting.,vagrant,stone_age,,,,1
13,Heat Macerator,Craft a heat macerator to manually crush ores.,vagrant,stone_age,,,,1
14,Place Heat Furnace,Place the furnace in the world.,vagrant,stone_age,,,,1
15,Iron Ingot, Macerate iron ore - Smelt(in heat furnace) iron dust into ingots.,vagrant,stone_age,,,,8
16,Iron Pickaxe,Craft an iron pickaxe to mine advanced ores.,vagrant,basics,,,,1
17,Getting Organized,Craft a chest to store your growing hoard of items.,vagrant,basics,,,,1
18,Place Chest,Place the chest in the world.,vagrant,basics,,,,1
19,Water Supply,Craft an empty bucket and collect water.,vagrant,basics,,,,1
20,Rotare Generator,Craft a rotare generator for basic mechanical power.,vagrant,stone_age,,,,1
21,Rotare Macerator,Craft a mechanical rotare macerator.,vagrant,stone_age,,,,1
22,Tin Prospecting,Mine tin ore for bronze alloys.,vagrant,steam_age,,,,8
23,Copper Prospecting,Mine copper ore for bronze and cables.,vagrant,steam_age,,,,8
24,Bronze Ingot, Macerate copper - tin - mix in crafting table - then smelt,vagrant,steam_age,,,,8
25,Bronze Plate,craft in crafting table (ingot+ingot).,vagrant,steam_age,,,,16
26,Rod,Craft metal rods for machine components.,vagrant,steam_age,,,,16
27,Steam Heat Boiler,Craft a heat boiler to convert steam back to heat.,vagrant,steam_age,,,,1
28,Steam Solid Boiler,Craft a boiler to generate steam from coal.,vagrant,steam_age,,,,1
29,Fluid Pipe,Craft fluid pipes to transport steam.,vagrant,steam_age,,,,8
30,Item Pipe,Craft item pipes for basic logistics.,vagrant,steam_age,,,,8
31,Steam Macerator,Craft a steam macerator to automate ore doubling.,vagrant,steam_age,,,,1
32,Steam Compressor,Craft a steam compressor for plate production.,vagrant,steam_age,,,,1
33,Steam Extractor,Craft a steam extractor for rubber and fluids.,vagrant,steam_age,,,,1
34,Steam Mixer,Craft a steam mixer to combine dusts and fluids.,vagrant,steam_age,,,,1
35,Bronze Alloy Smelter,Craft an alloy smelter to automate bronze production.,vagrant,steam_age,,,,1
36,Place Steam Boiler,Place the boiler and start the steam age.,vagrant,steam_age,,,,1
37,ULV Transition,Craft a creative generator to bootstrap your first grid.,apprentice,ulv_transition,,,,1
38,Tin Cable,Craft tin cables to transmit ULV power.,apprentice,ulv_transition,,,,16
39,Drill ULV,Craft an ULV drill to automate mining.,apprentice,ulv_transition,,,,1
40,Wrench Mastery,Craft a wrench to configure machine sides.,apprentice,ulv_transition,,,,1
41,Dense Item Pipe,Craft dense pipes for high-throughput logistics.,apprentice,steam_automation,,,,8
42,Dense Fluid Pipe,Craft dense fluid pipes for massive steam transfer.,apprentice,steam_automation,,,,8
43,Copper Cable,Craft copper cables for LV power networks.,energy_junior,lv_power,,,,16
44,LV Hull,Craft an LV machine hull.,energy_junior,lv_machines,,,,1
45,Battery Buffer LV,Craft an LV battery buffer to store energy.,energy_junior,lv_power,,,,1
46,Charger,Craft a charger to power your ULV/LV tools.,energy_junior,lv_power,,,,1
47,Drill LV,Craft an LV drill for faster mining.,energy_junior,lv_tools,,,,1
48,Chainsaw LV,Craft an LV chainsaw to clear forests.,energy_junior,lv_tools,,,,1
49,Electric Motor LV,Craft an LV electric motor.,energy_junior,lv_components,,,,4
50,Electric Piston LV,Craft an LV electric piston.,energy_junior,lv_components,,,,2
51,Fluid Pump LV,Craft an LV fluid pump.,energy_junior,lv_components,,,,2
52,Conveyor Module LV,Craft an LV conveyor module.,energy_junior,lv_components,,,,2
53,Emitter LV,Craft an LV emitter for sensors and circuits.,energy_junior,lv_components,,,,2
54,Sensor LV,Craft an LV sensor for automation.,energy_junior,lv_components,,,,2
55,Electric Furnace LV,Craft an LV electric furnace.,energy_junior,lv_machines,,,,1
56,Macerator LV,Craft an LV macerator for ore processing.,energy_junior,lv_machines,,,,1
57,Compressor LV,Craft an LV compressor.,energy_junior,lv_machines,,,,1
58,Extractor LV,Craft an LV extractor.,energy_junior,lv_machines,,,,1
59,Mixer LV,Craft an LV mixer for chemical processing.,energy_junior,lv_machines,,,,1
60,Alloy Smelter LV,Craft an LV alloy smelter.,energy_junior,lv_machines,,,,1
61,Wiremill LV,Craft an LV wiremill to draw wires efficiently.,energy_junior,lv_machines,,,,1
62,Bender LV,Craft an LV bender for plates and foils.,energy_junior,lv_machines,,,,1
63,Extruder LV,Craft an LV extruder for pipes and shapes.,energy_junior,lv_machines,,,,1
64,Forge Hammer LV,Craft an LV forge hammer.,energy_junior,lv_machines,,,,1
65,Ore Washer LV,Craft an ore washer to purify crushed ores.,energy_junior,lv_machines,,,,1
66,Thermal Centrifuge LV,Craft a thermal centrifuge for ore tripling.,energy_junior,lv_machines,,,,1
67,Circuit Board Empty,Craft an empty circuit board.,energy_junior,lv_circuits,,,,4
68,Circuit Board Basic,Craft a basic coated circuit board.,energy_junior,lv_circuits,,,,4
69,Electronic Circuit LV,Craft your first LV electronic circuit.,energy_junior,lv_circuits,,,,2
70,Assembling Machine LV,Craft an LV assembling machine to automate crafting.,energy_junior,lv_machines,,,,1
71,Side Configuration,Use the wrench to configure an LV machine for automation.,energy_junior,lv_automation,,,,1
72,Gold Cable,Craft gold cables for MV power transmission.,energy_junior,mv_power,,,,16
73,MV Hull,Craft an MV machine hull.,energy_junior,mv_machines,,,,1
74,Transformer LV-MV,Craft a transformer to step up LV to MV.,energy_junior,mv_power,,,,1
75,Battery Buffer MV,Craft an MV battery buffer.,energy_junior,mv_power,,,,1
76,Drill MV,Craft an MV drill for extended mining operations.,energy_junior,mv_tools,,,,1
