old_id,new_id,name,old_packed,new_packed,subgroup
0:1110:1,0:1110:001:0,aluminium_dust,28673,28928,base/processed/dusts
0:1110:3,0:1110:001:1,brass_dust,28675,28929,base/processed/dusts
0:1110:5,0:1110:001:2,carbon_dust,28677,28930,base/processed/dusts
0:1110:6,0:1110:001:3,chromium_dust,28678,28931,base/processed/dusts
0:1110:8,0:1110:001:4,coal_dust,28680,28932,base/processed/dusts
0:1110:12,0:1110:001:5,crushed_copper,28684,28933,base/processed/dusts
0:1110:13,0:1110:001:6,crushed_gold,28685,28934,base/processed/dusts
0:1110:14,0:1110:001:7,crushed_iron,28686,28935,base/processed/dusts
0:1110:15,0:1110:001:8,crushed_lead,28687,28936,base/processed/dusts
0:1110:16,0:1110:001:9,crushed_silver,28688,28937,base/processed/dusts
0:1110:17,0:1110:001:10,crushed_tin,28689,28938,base/processed/dusts
0:1110:18,0:1110:001:11,crushed_zinc,28690,28939,base/processed/dusts
0:1110:20,0:1110:001:12,invar_dust,28692,28940,base/processed/dusts
0:1110:22,0:1110:001:13,iridium_dust,28694,28941,base/processed/dusts
0:1110:27,0:1110:001:14,lead_dust,28699,28942,base/processed/dusts
0:1110:29,0:1110:001:15,osmium_dust,28701,28943,base/processed/dusts
0:1110:31,0:1110:001:16,platinum_dust,28703,28944,base/processed/dusts
0:1110:33,0:1110:001:17,silicon_dust,28705,28945,base/processed/dusts
0:1110:34,0:1110:001:18,silver_dust,28706,28946,base/processed/dusts
0:1110:37,0:1110:001:19,steel_dust,28709,28947,base/processed/dusts
0:1110:45,0:1110:001:20,titanium_dust,28717,28948,base/processed/dusts
0:1110:48,0:1110:001:21,tungsten_dust,28720,28949,base/processed/dusts
0:1110:53,0:1110:001:22,zinc_dust,28725,28950,base/processed/dusts
0:1110:1:0:0,0:1110:001:23,tin_dust,29696,28951,base/processed/dusts
0:1110:1:0:1,0:1110:001:24,copper_dust,29697,28952,base/processed/dusts
0:1110:1:0:2,0:1110:001:25,bronze_dust,29698,28953,base/processed/dusts
0:1110:1:0:3,0:1110:001:26,iron_dust,29699,28954,base/processed/dusts
0:1110:1:0:4,0:1110:001:27,gold_dust,29700,28955,base/processed/dusts
0:1110:1:0:5,0:1110:001:28,electrum_dust,29701,28956,base/processed/dusts
0:1110:1:0:6,0:1110:001:29,uranium_dust,29702,28957,base/processed/dusts
0:1110:10,0:1110:011:0,copper_ring,28682,29440,base/processed/gears-rings-foils-springs-rotors
0:1110:24,0:1110:011:1,iron_gear,28696,29441,base/processed/gears-rings-foils-springs-rotors
0:1110:38,0:1110:011:2,steel_gear,28710,29442,base/processed/gears-rings-foils-springs-rotors
0:1110:40,0:1110:011:3,steel_ring,28712,29443,base/processed/gears-rings-foils-springs-rotors
0:1110:42,0:1110:011:4,steel_rotor,28714,29444,base/processed/gears-rings-foils-springs-rotors
0:1110:43,0:1110:011:5,steel_spring,28715,29445,base/processed/gears-rings-foils-springs-rotors
0:1110:47,0:1110:011:6,titanium_rotor,28719,29446,base/processed/gears-rings-foils-springs-rotors
0:1110:1:1:2,0:1110:101:0,quartz,30210,29952,base/processed/gems-crystals
0:1110:1:1:3,0:1110:101:1,crystal,30211,29953,base/processed/gems-crystals
0:1110:1:1:4,0:1110:101:2,redstone,30212,29954,base/processed/gems-crystals
0:1110:1:1:5,0:1110:101:3,lapis,30213,29955,base/processed/gems-crystals
0:1110:1:1:6,0:1110:101:4,diamond,30214,29956,base/processed/gems-crystals
0:1110:0:0:0,0:1110:000:0,bronze_plate,28672,28672,base/processed/plates
0:1110:2,0:1110:000:1,aluminium_plate,28674,28673,base/processed/plates
0:1110:4,0:1110:000:2,brass_plate,28676,28674,base/processed/plates
0:1110:7,0:1110:000:3,chromium_plate,28679,28675,base/processed/plates
0:1110:9,0:1110:000:4,copper_plate,28681,28676,base/processed/plates
0:1110:19,0:1110:000:5,gold_plate,28691,28677,base/processed/plates
0:1110:21,0:1110:000:6,invar_plate,28693,28678,base/processed/plates
0:1110:23,0:1110:000:7,iridium_plate,28695,28679,base/processed/plates
0:1110:25,0:1110:000:8,iron_plate,28697,28680,base/processed/plates
0:1110:28,0:1110:000:9,lead_plate,28700,28681,base/processed/plates
0:1110:30,0:1110:000:10,osmium_plate,28702,28682,base/processed/plates
0:1110:32,0:1110:000:11,platinum_plate,28704,28683,base/processed/plates
0:1110:35,0:1110:000:12,silver_plate,28707,28684,base/processed/plates
0:1110:36,0:1110:000:13,stainless_steel_plate,28708,28685,base/processed/plates
0:1110:39,0:1110:000:14,steel_plate,28711,28686,base/processed/plates
0:1110:44,0:1110:000:15,tin_plate,28716,28687,base/processed/plates
0:1110:46,0:1110:000:16,titanium_plate,28718,28688,base/processed/plates
0:1110:49,0:1110:000:17,tungsten_plate,28721,28689,base/processed/plates
0:1110:51,0:1110:000:18,tungstensteel_plate,28723,28690,base/processed/plates
0:1110:52,0:1110:000:19,wooden_pressure_plate,28724,28691,base/processed/plates
0:1110:54,0:1110:000:20,zinc_plate,28726,28692,base/processed/plates
0:1110:11,0:1110:010:0,copper_rod,28683,29184,base/processed/rods-bolts-screws
0:1110:26,0:1110:010:1,iron_rod,28698,29185,base/processed/rods-bolts-screws
0:1110:41,0:1110:010:2,steel_rod,28713,29186,base/processed/rods-bolts-screws
0:1110:50,0:1110:010:3,tungsten_rod,28722,29187,base/processed/rods-bolts-screws
0:1110:1:1:1,0:1110:010:4,rod,30209,29188,base/processed/rods-bolts-screws
1110:01:0,1110:011:0,steam_solid_boiler,58368,58880,machines/boilers-generation
1110:01:1,1110:011:1,steam_heat_boiler,58369,58881,machines/boilers-generation
1110:00:9,1110:010:0,alloy_smelter_lv,57353,58368,machines/electric-processing
1110:00:10,1110:010:1,bender,57354,58369,machines/electric-processing
1110:00:11,1110:010:2,centrifuge_lv,57355,58370,machines/electric-processing
1110:00:12,1110:010:3,chemical_reactor_lv,57356,58371,machines/electric-processing
1110:00:13,1110:010:4,compressor_lv,57357,58372,machines/electric-processing
1110:00:14,1110:010:5,electric_furnace_hv,57358,58373,machines/electric-processing
1110:00:15,1110:010:6,electric_furnace_lv,57359,58374,machines/electric-processing
1110:00:16,1110:010:7,electric_furnace_mv,57360,58375,machines/electric-processing
1110:00:17,1110:010:8,electrolyzer_lv,57361,58376,machines/electric-processing
