name,source_rows,source_labels,proposed_ids,status,reason
acacia,112,More wood types (prefix 0:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
advanced_circuit,124,Circuits (need new sub-prefix),,deferred,requires-new-namespace
advanced_jetpack,786,Armor & Wearable (110:3) — stack 1,110:3:15,deferred,not-yet-reviewed-or-namespace-conflict
alloy_smelter_hv,837,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:13,deferred,not-yet-reviewed-or-namespace-conflict
alloy_smelter_mv,836,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:12,deferred,not-yet-reviewed-or-namespace-conflict
aluminium_foil,491,Gears / Rings / Foils / Springs / Rotors (01110:3),0:1110:011:6,deferred,not-yet-reviewed-or-namespace-conflict
aluminium_wire_1x,503,Wires (01110:4),0:1110:100:5,deferred,not-yet-reviewed-or-namespace-conflict
ancient_debris,705,Nether (10:1),10:1:2,deferred,not-yet-reviewed-or-namespace-conflict
andesite,109;255,Terrain blocks (prefix 0:0:*),00:0:20,deferred,not-yet-reviewed-or-namespace-conflict
antimony_ingot,390,Base Metals (0110:0),0110:0:7,deferred,not-yet-reviewed-or-namespace-conflict
antimony_ore,674,Overworld (10:0),10:0:8,deferred,not-yet-reviewed-or-namespace-conflict
apatite_ore,686,Overworld (10:0),10:0:20,deferred,not-yet-reviewed-or-namespace-conflict
assembler,155,"Processing (1110:00:* — currently 0-7, room for 1024)",,deferred,not-yet-reviewed-or-namespace-conflict
assembling_machine_lv,851,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:27,deferred,not-yet-reviewed-or-namespace-conflict
assembling_machine_mv,852,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:28,deferred,not-yet-reviewed-or-namespace-conflict
asteroid_diamond_ore,733,Planetary (10:3),10:3:12,deferred,not-yet-reviewed-or-namespace-conflict
asteroid_gold_ore,732,Planetary (10:3),10:3:11,deferred,not-yet-reviewed-or-namespace-conflict
asteroid_iron_ore,731,Planetary (10:3),10:3:10,deferred,not-yet-reviewed-or-namespace-conflict
asteroid_rock,740,Space Blocks (110:0),110:0:2,deferred,not-yet-reviewed-or-namespace-conflict
asteroid_stone,730,Planetary (10:3),10:3:9,deferred,not-yet-reviewed-or-namespace-conflict
autoclave_lv,856,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:32,deferred,not-yet-reviewed-or-namespace-conflict
barrel,368,Wooden Containers & Utility (010:4),010:4:5,deferred,not-yet-reviewed-or-namespace-conflict
basalt,109;257,Terrain blocks (prefix 0:0:*),00:0:22,deferred,not-yet-reviewed-or-namespace-conflict
basic_circuit,124,Circuits (need new sub-prefix),,deferred,requires-new-namespace
battery_buffer_ev,884,"Generation, Storage, Transformers (1110:11)",1110:101:19,deferred,not-yet-reviewed-or-namespace-conflict
battery_buffer_iv,885,"Generation, Storage, Transformers (1110:11)",1110:101:20,deferred,not-yet-reviewed-or-namespace-conflict
battery_buffer_luv,886,"Generation, Storage, Transformers (1110:11)",1110:101:21,deferred,not-yet-reviewed-or-namespace-conflict
battery_buffer_ulv,880,"Generation, Storage, Transformers (1110:11)",1110:101:15,deferred,not-yet-reviewed-or-namespace-conflict
battery_buffer_uv,888,"Generation, Storage, Transformers (1110:11)",1110:101:23,deferred,not-yet-reviewed-or-namespace-conflict
battery_buffer_zpm,887,"Generation, Storage, Transformers (1110:11)",1110:101:22,deferred,not-yet-reviewed-or-namespace-conflict
battery_hv,901,"Generation, Storage, Transformers (1110:11)",1110:101:36,deferred,not-yet-reviewed-or-namespace-conflict
battery_lv,899,"Generation, Storage, Transformers (1110:11)",1110:101:34,deferred,not-yet-reviewed-or-namespace-conflict
battery_mv,900,"Generation, Storage, Transformers (1110:11)",1110:101:35,deferred,not-yet-reviewed-or-namespace-conflict
battery_pack,788,Armor & Wearable (110:3) — stack 1,110:3:17,deferred,not-yet-reviewed-or-namespace-conflict
bauxite_ore,690,Overworld (10:0),10:0:24,deferred,not-yet-reviewed-or-namespace-conflict
bedrock,247,Stone & Ground (00:0),00:0:12,deferred,not-yet-reviewed-or-namespace-conflict
bending_machine_lv,846,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:22,deferred,not-yet-reviewed-or-namespace-conflict
bending_machine_mv,847,Electric Processing (1110:10) — LV/MV/HV основные,1110:010:23,deferred,not-yet-reviewed-or-namespace-conflict
biocircuit,126,Circuits (need new sub-prefix),,deferred,requires-new-namespace
birch_door,355,Doors / Trapdoors / Mechanisms (010:3),010:3:2,deferred,not-yet-reviewed-or-namespace-conflict
birch_fence,347,Slabs / Stairs / Fences (010:2),010:2:8,deferred,not-yet-reviewed-or-namespace-conflict
birch_fence_gate,350,Slabs / Stairs / Fences (010:2),010:2:11,deferred,not-yet-reviewed-or-namespace-conflict
birch_trapdoor,358,Doors / Trapdoors / Mechanisms (010:3),010:3:5,deferred,not-yet-reviewed-or-namespace-conflict
birch_wood,328,Raw Wood (010:0),010:0:11,deferred,not-yet-reviewed-or-namespace-conflict
bismuth_ingot,391,Base Metals (0110:0),0110:0:8,deferred,not-yet-reviewed-or-namespace-conflict
bismuth_ore,675,Overworld (10:0),10:0:9,deferred,not-yet-reviewed-or-namespace-conflict
blade,136,Processed materials,,deferred,not-yet-reviewed-or-namespace-conflict
brick_slab,283,Manufactured Building (00:2),00:2:3,deferred,not-yet-reviewed-or-namespace-conflict
brick_stairs,284,Manufactured Building (00:2),00:2:4,deferred,not-yet-reviewed-or-namespace-conflict
bronze_pipe,180,Pipes (prefix 1111:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
buffer,165,Storage (1110:10:* — currently 0-3),,deferred,not-yet-reviewed-or-namespace-conflict
button,113,More wood types (prefix 0:10:*),,deferred,not-yet-reviewed-or-namespace-conflict
buzzsaw_lv,967,Electric Tools (1111:00) — stack 1,1111:00:14,deferred,not-yet-reviewed-or-namespace-conflict
cable_aluminium_1x,982,Cables & Wires (1111:01) — stack 64,1111:01:10,deferred,not-yet-reviewed-or-namespace-conflict
cable_aluminium_4x,983,Cables & Wires (1111:01) — stack 64,1111:01:11,deferred,not-yet-reviewed-or-namespace-conflict
cable_annealed_copper,175,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_copper_1x,976,Cables & Wires (1111:01) — stack 64,1111:01:4,deferred,not-yet-reviewed-or-namespace-conflict
cable_copper_2x,977,Cables & Wires (1111:01) — stack 64,1111:01:5,deferred,not-yet-reviewed-or-namespace-conflict
cable_copper_4x,978,Cables & Wires (1111:01) — stack 64,1111:01:6,deferred,not-yet-reviewed-or-namespace-conflict
cable_copper_8x,979,Cables & Wires (1111:01) — stack 64,1111:01:7,deferred,not-yet-reviewed-or-namespace-conflict
cable_cupronickel,177,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_gold_1x,980,Cables & Wires (1111:01) — stack 64,1111:01:8,deferred,not-yet-reviewed-or-namespace-conflict
cable_gold_4x,981,Cables & Wires (1111:01) — stack 64,1111:01:9,deferred,not-yet-reviewed-or-namespace-conflict
cable_kanthal,176,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_nichrome_1x,987,Cables & Wires (1111:01) — stack 64,1111:01:15,deferred,not-yet-reviewed-or-namespace-conflict
cable_niobium_titanium,178,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_osmium_1x,986,Cables & Wires (1111:01) — stack 64,1111:01:14,deferred,not-yet-reviewed-or-namespace-conflict
cable_platinum_1x,985,Cables & Wires (1111:01) — stack 64,1111:01:13,deferred,not-yet-reviewed-or-namespace-conflict
cable_red_alloy,175,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_steel,177,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_superconductor,176,Cables (prefix 1111:01:*),,deferred,not-yet-reviewed-or-namespace-conflict
cable_tin_1x,972,Cables & Wires (1111:01) — stack 64,1111:01:0,deferred,not-yet-reviewed-or-namespace-conflict
cable_tin_2x,973,Cables & Wires (1111:01) — stack 64,1111:01:1,deferred,not-yet-reviewed-or-namespace-conflict
cable_tin_4x,974,Cables & Wires (1111:01) — stack 64,1111:01:2,deferred,not-yet-reviewed-or-namespace-conflict
cable_tin_8x,975,Cables & Wires (1111:01) — stack 64,1111:01:3,deferred,not-yet-reviewed-or-namespace-conflict
